titre,annee,description,note_imdb,votes_imdb,note_jwrating,runtime,type,genres,producteur,plateformes
Marvel Zombies,2025,L'univers Marvel est réimaginé alors qu'une nouvelle génération de héros se bat contre un fléau de zombies qui ne cesse de s'étendre.,7.1,15215.0,0.84751956107,31,SHOW,"Science-Fiction, Animation, Action & Aventure, Drame, Fantastique, Horreur",Bryan Andrews,Disney Plus
MobLand,2025,"Deux familles du crime s'affrontent dans une lutte à mort qui menace de faire tomber des empires. Pris entre deux feux, Harry Da Souza, un "" fixer "", connaît mieux que personne la valeur de la loyauté quand des forces opposées entrent en collision.",8.4,90434.0,0.938250895294,47,SHOW,"Crime & Thriller, Drame",Guy Ritchie,"Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Amazon Video, Canal VOD, Apple TV, Paramount Plus, Paramount Plus Premium"
Black Sails,2014,"1715, l'âge d'or de la piraterie dans les Caraïbes. L'ancienne colonie britannique de New Providence est contrôlée par les pirates. Parmi eux, le plus célèbre et le plus craint est le Capitaine Flint. Lorsque la flotte britannique décide de reconquérir ce territoire abandonné aux mains des hors-la-loi, Flint décide de lutter. Car le retour de l'Empire Britannique signifierait l'extinction des pirates. Allié à Eleanor Guthrie, dont le père règne sur la contrebande à New Providence, il met au point un plan pour sauver les pirates. Au même moment, un certain John Silver est recruté dans l'équipage de Flint, un étrange jeune marin qui va rapidement s'opposer au capitaine... Abordages, mutineries et trahisons : Black Sails entend bien rappeler à quel point le monde des pirates était violent et cruel, loin de leur image de héros des enfants.",8.2,123016.0,0.918745836329,56,SHOW,"Action & Aventure, Drame",Steve Boyum,"Amazon Video, Lionsgate+ Amazon Channels, Amazon Prime Video, Canal VOD, HBO Max, Apple TV, Orange VOD, HBO Max  Amazon Channel"
La liste terminale: L'ombre du loup,2025,"Plusieurs années avant les événements de La Liste Terminale, les Navy SEAL Ben Edwards et Raife Hastings se retrouvent impliqués dans une conspiration d'espionnage international alors qu'ils sont affectés à la CIA. Cependant, dans les opérations secrètes, personne n'en ressort indemne. Ce ne sont pas seulement des vies qui sont perdues. Parfois, c'est votre âme.",7.7,18352.0,0.865440204388,57,SHOW,"Drame, Action & Aventure, Mystère & Thriller",Paul Cameron,"Amazon Prime Video, Amazon Prime Video with Ads"
The Walking Dead - Daryl Dixon,2023,Daryl Dixon se réveille quelque part sur le continent européen et essaie de reconstituer ce qui s'est passé. Comment est-il arrivé ici ? Comment va-t-il rentrer chez lui ?,7.5,35942.0,0.866194977615,53,SHOW,"Science-Fiction, Action & Aventure, Drame, Horreur",Michael Slovis,"Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Amazon Video, Apple TV, Paramount Plus, Zavvi, Paramount Plus Premium"
Le traqueur,2024,"Colter Shaw est un loup solitaire, qui parcourt le pays à bord de son camping-car, utilisant ses talents de pisteur pour aider les particuliers et les forces de l'ordre à résoudre toutes sortes de crimes ou à retrouver les personnes disparues.",7.1,24605.0,0.82517163325,41,SHOW,"Drame, Crime & Thriller",Nimisha Mukerji,"Disney Plus, TF1+, Molotov TV"
Invasion,2021,"Alors que la Terre est visitée par des extraterrestres qui menacent l’humanité, cinq personnes ordinaires dispersées sur la planète s’efforcent de donner un sens aux évènements dont ils sont témoins et au chaos qui les entoure.",6.2,53421.0,0.852850073429,49,SHOW,"Drame, Science-Fiction, Fantastique",Claudia Llosa,Apple TV+
Dexter,2006,"Brillant expert scientifique du service médico-légal de la police de Miami, Dexter Morgan est spécialisé dans l'analyse de prélèvements sanguins. Mais voilà, Dexter cache un terrible secret : il est également tueur en série. Un serial killer pas comme les autres, avec sa propre vision de la justice.",8.6,885286.0,0.94259490997,53,SHOW,"Drame, Mystère & Thriller, Crime & Thriller",Tim Hunter,"Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Canal VOD, Apple TV, Canal+ Séries, Paramount Plus, Zavvi, Paramount Plus Premium"
The Handmaid's Tale : La Servante écarlate,2017,"Dans une dictature où la stérilité a frappé les femmes, ces dernières sont divisées en trois catégories : les Épouses, qui dominent la maison, les Marthas, qui l'entretiennent, et les Servantes, dont le rôle est la reproduction.",8.3,290077.0,0.899024670119,51,SHOW,"Drame, Science-Fiction, Mystère & Thriller",Elisabeth Moss,"Fnac , Molotov TV, Amazon Video, Amazon Prime Video, Canal VOD, Amazon Prime Video with Ads, Apple TV, Orange VOD, Cine+ OCS Amazon Channel "
Le Pitt,2025,"Dans l'Amérique d'aujourd'hui, les professionnels de la santé sont confrontés à de nombreux défis au sein d'un hôpital de Pittsburgh, en Pennsylvanie.",8.9,77491.0,0.936881381024,48,SHOW,Drame,Quyen Tran,"HBO Max  Amazon Channel, HBO Max"
